model,accuracy,precision,recall,f1,roc_auc,pr_auc
LogisticRegression,0.9843864357160284,0.9678217821782178,0.9536585365853658,0.9606879606879607,0.9987834631319781,0.9953739459758335
SVM(RBF),0.9470602585996585,0.9325681492109039,0.7926829268292683,0.8569545154911009,0.9879231473010064,0.9543571886624007
RandomForest,0.9124176628445962,0.9276437847866419,0.6097560975609756,0.7358351729212657,0.9747550933880793,0.9111818060339901
XGBoost,0.9863381312515248,0.9739454094292804,0.9573170731707317,0.965559655596556,0.9989236754215667,0.9960508780333545
LightGBM,0.987313979019273,0.9848484848484849,0.9512195121951219,0.967741935483871,0.9991193031783931,0.9968376679627513
